app_id,app_name,total_reviews,total_positive,steam_consensus,Title,Platform,Metascore,NumberOfCriticReviews,url,Metascore_Normalized,delta
481510,Night in the Woods,8419,7919,0.94061052381518,Night in the Woods,PC,88.0,38.0,https://www.metacritic.com/game/night-in-the-woods/critic-reviews/?platform=pc,0.88,0.06061052381517995
1158310,Crusader Kings III,21903,20596,0.9403278089759394,Crusader Kings III,PC,91.0,66.0,https://www.metacritic.com/game/crusader-kings-iii/critic-reviews/?platform=pc,0.91,0.03032780897593934
594570,Total War: WARHAMMER II,47822,44952,0.9399857806030696,Total War: WARHAMMER II,PC,87.0,73.0,https://www.metacritic.com/game/total-war-warhammer-ii/critic-reviews/?platform=pc,0.87,0.06998578060306959
8870,BioShock Infinite,50275,47242,0.9396718050721036,BioShock Infinite,PC,94.0,68.0,https://www.metacritic.com/game/bioshock-infinite/critic-reviews/?platform=pc,0.94,-0.0003281949278963747
590380,Into the Breach,7902,7404,0.9369779802581624,Into the Breach,PC,90.0,63.0,https://www.metacritic.com/game/into-the-breach/critic-reviews/?platform=pc,0.9,0.036977980258162346
291860,Pit People,4162,3899,0.9368092263334936,Pit People,PC,78.0,16.0,https://www.metacritic.com/game/pit-people/critic-reviews/?platform=pc,0.78,0.1568092263334936
239140,Dying Light,62179,58240,0.9366506376750992,Dying Light,PC,75.0,40.0,https://www.metacritic.com/game/dying-light/critic-reviews/?platform=pc,0.75,0.18665063767509915
666140,My Time At Portia,10831,10141,0.9362939710091404,My Time At Portia,PC,73.0,38.0,https://www.metacritic.com/game/my-time-at-portia/critic-reviews/?platform=pc,0.73,0.20629397100914038
428550,Momodora: Reverie Under the Moonlight,3689,3433,0.930604499864462,Momodora: Reverie Under the Moonlight,PC,82.0,5.0,https://www.metacritic.com/game/momodora-reverie-under-the-moonlight/critic-reviews/?platform=pc,0.82,0.11060449986446208
418370,Resident Evil 7 Biohazard,13839,12877,0.9304863068140762,Resident Evil 7: biohazard,PC,83.0,18.0,https://www.metacritic.com/game/resident-evil-7-biohazard/critic-reviews/?platform=pc,0.83,0.10048630681407622
332200,Axiom Verge,3052,2835,0.9288990825688074,Axiom Verge,PC,80.0,11.0,https://www.metacritic.com/game/axiom-verge/critic-reviews/?platform=pc,0.8,0.12889908256880733
609320,FAR: Lone Sails,3834,3556,0.927490871152843,FAR: Lone Sails,PC,80.0,27.0,https://www.metacritic.com/game/far-lone-sails/critic-reviews/?platform=pc,0.8,0.12749087115284297
72850,The Elder Scrolls V: Skyrim,160233,148583,0.9272933790168068,The Elder Scrolls V: Skyrim,PC,94.0,32.0,https://www.metacritic.com/game/the-elder-scrolls-v-skyrim/critic-reviews/?platform=pc,0.94,-0.012706620983193195
374320,DARK SOULS™ III,88860,82398,0.9272788656313302,Dark Souls III,PC,89.0,62.0,https://www.metacritic.com/game/dark-souls-iii/critic-reviews/?platform=pc,0.89,0.037278865631330205
569860,Thimbleweed Park,1815,1682,0.9267217630853994,Thimbleweed Park,PC,84.0,65.0,https://www.metacritic.com/game/thimbleweed-park/critic-reviews/?platform=pc,0.84,0.08672176308539947
814380,Sekiro™: Shadows Die Twice,34196,31689,0.9266873318516784,Sekiro: Shadows Die Twice,PC,88.0,27.0,https://www.metacritic.com/game/sekiro-shadows-die-twice/critic-reviews/?platform=pc,0.88,0.04668733185167839
673880,"Warhammer 40,000: Mechanicus",5159,4776,0.9257608063578212,"Warhammer 40,000: Mechanicus",PC,78.0,20.0,https://www.metacritic.com/game/warhammer-40000-mechanicus/critic-reviews/?platform=pc,0.78,0.14576080635782118
429660,Tales of Berseria,5367,4958,0.9237935531954538,Tales of Berseria,PC,80.0,19.0,https://www.metacritic.com/game/tales-of-berseria/critic-reviews/?platform=pc,0.8,0.12379355319545371
255710,Cities: Skylines,70066,64724,0.9237575999771644,Cities: Skylines,PC,85.0,60.0,https://www.metacritic.com/game/cities-skylines/critic-reviews/?platform=pc,0.85,0.07375759997716447
1190460,DEATH STRANDING,17137,15826,0.9234988621112212,Death Stranding,PC,86.0,58.0,https://www.metacritic.com/game/death-stranding/critic-reviews/?platform=pc,0.86,0.06349886211122124
391220,Rise of the Tomb Raider,24712,22651,0.9165992230495306,Rise of the Tomb Raider,PC,86.0,46.0,https://www.metacritic.com/game/rise-of-the-tomb-raider/critic-reviews/?platform=pc,0.86,0.05659922304953058
787860,Farming Simulator 19,14603,13385,0.9165924809970554,Farming Simulator 19,PC,73.0,16.0,https://www.metacritic.com/game/farming-simulator-19/critic-reviews/?platform=pc,0.73,0.1865924809970554
323190,Frostpunk,22463,20584,0.9163513333036548,Frostpunk,PC,84.0,70.0,https://www.metacritic.com/game/frostpunk/critic-reviews/?platform=pc,0.84,0.07635133330365484
535930,Two Point Hospital,11266,10308,0.9149653825670158,Two Point Hospital,PC,83.0,57.0,https://www.metacritic.com/game/two-point-hospital/critic-reviews/?platform=pc,0.83,0.0849653825670158
731490,Crash Bandicoot™ N. Sane Trilogy,5449,4982,0.9142962011378236,Crash Bandicoot N. Sane Trilogy,PC,76.0,9.0,https://www.metacritic.com/game/crash-bandicoot-n-sane-trilogy/critic-reviews/?platform=pc,0.76,0.1542962011378236
275390,Guacamelee! Super Turbo Championship Edition,2203,2013,0.9137539718565592,Guacamelee! Super Turbo Championship Edition,PC,80.0,6.0,https://www.metacritic.com/game/guacamelee-super-turbo-championship-edition/critic-reviews/?platform=pc,0.8,0.11375397185655911
424840,Little Nightmares,8895,8117,0.9125351320966836,Little Nightmares,PC,81.0,31.0,https://www.metacritic.com/game/little-nightmares/critic-reviews/?platform=pc,0.81,0.10253513209668352
417290,Ghost of a Tale,1662,1515,0.9115523465703972,Ghost of a Tale,PC,75.0,27.0,https://www.metacritic.com/game/ghost-of-a-tale/critic-reviews/?platform=pc,0.75,0.1615523465703972
613100,House Flipper,18949,17271,0.9114465143279328,House Flipper,PC,67.0,7.0,https://www.metacritic.com/game/house-flipper/critic-reviews/?platform=pc,0.67,0.24144651432793274
583470,The End Is Nigh,1189,1083,0.9108494533221194,The End Is Nigh,PC,84.0,17.0,https://www.metacritic.com/game/the-end-is-nigh/critic-reviews/?platform=pc,0.84,0.07084945332211945
394360,Hearts of Iron IV,61009,55549,0.910505007457916,Hearts of Iron IV,PC,83.0,38.0,https://www.metacritic.com/game/hearts-of-iron-iv/critic-reviews/?platform=pc,0.83,0.080505007457916
107410,Arma 3,89777,81502,0.9078271717700525,Arma 3,PC,74.0,38.0,https://www.metacritic.com/game/arma-3/critic-reviews/?platform=pc,0.74,0.16782717177005246
