app_id,app_name,total_reviews,total_positive,steam_consensus,Title,Platform,Metascore,NumberOfCriticReviews,url,Metascore_Normalized,delta
72850,The Elder Scrolls V: Skyrim,160233,148583,0.9272933790168068,The Elder Scrolls V: Skyrim,PC,96.0,89.0,https://www.metacritic.com/game/the-elder-scrolls-v-skyrim/,0.96,-0.03270662098319321
374320,DARK SOULS™ III,88860,82398,0.9272788656313302,Dark Souls III,PC,89.0,69.0,https://www.metacritic.com/game/dark-souls-iii/,0.89,0.037278865631330205
569860,Thimbleweed Park,1815,1682,0.9267217630853994,Thimbleweed Park,PC,84.0,59.0,https://www.metacritic.com/game/thimbleweed-park/,0.84,0.08672176308539947
814380,Sekiro™: Shadows Die Twice,34196,31689,0.9266873318516785,Sekiro: Shadows Die Twice,PC,90.0,77.0,https://www.metacritic.com/game/sekiro-shadows-die-twice/,0.9,0.026687331851678486
673880,"Warhammer 40,000: Mechanicus",5159,4776,0.9257608063578213,"Warhammer 40,000: Mechanicus",PC,78.0,19.0,https://www.metacritic.com/game/warhammer-40000-mechanicus/,0.78,0.1457608063578213
429660,Tales of Berseria,5367,4958,0.9237935531954538,Tales of Berseria,PC,79.0,57.0,https://www.metacritic.com/game/tales-of-berseria/,0.79,0.13379355319545372
255710,Cities: Skylines,70066,64724,0.9237575999771643,Cities: Skylines,PC,85.0,60.0,https://www.metacritic.com/game/cities-skylines/,0.85,0.07375759997716436
1190460,DEATH STRANDING,17137,15826,0.9234988621112213,Death Stranding,PC,82.0,111.0,https://www.metacritic.com/game/death-stranding/,0.82,0.10349886211122139
391220,Rise of the Tomb Raider,24712,22651,0.9165992230495306,Rise of the Tomb Raider,PC,86.0,102.0,https://www.metacritic.com/game/rise-of-the-tomb-raider/,0.86,0.05659922304953058
787860,Farming Simulator 19,14603,13385,0.9165924809970554,Farming Simulator 19,PC,73.0,16.0,https://www.metacritic.com/game/farming-simulator-19/,0.73,0.1865924809970554
323190,Frostpunk,22463,20584,0.9163513333036549,Frostpunk,PC,84.0,67.0,https://www.metacritic.com/game/frostpunk/,0.84,0.07635133330365496
535930,Two Point Hospital,11266,10308,0.9149653825670158,Two Point Hospital,PC,83.0,55.0,https://www.metacritic.com/game/two-point-hospital/,0.83,0.0849653825670158
731490,Crash Bandicoot™ N. Sane Trilogy,5449,4982,0.9142962011378235,Crash Bandicoot N. Sane Trilogy,PC,80.0,85.0,https://www.metacritic.com/game/crash-bandicoot-n-sane-trilogy/,0.8,0.11429620113782346
631510,Devil May Cry HD Collection,1439,1315,0.9138290479499652,Devil May Cry HD Collection,PC,77.0,32.0,https://www.metacritic.com/game/devil-may-cry-hd-collection/,0.77,0.1438290479499652
275390,Guacamelee! Super Turbo Championship Edition,2203,2013,0.9137539718565593,Guacamelee! Super Turbo Championship Edition,PC,87.0,30.0,https://www.metacritic.com/game/guacamelee-super-turbo-championship-edition/,0.87,0.04375397185655927
424840,Little Nightmares,8895,8117,0.9125351320966836,Little Nightmares,PC,78.0,52.0,https://www.metacritic.com/game/little-nightmares/,0.78,0.13253513209668355
